"","ID","Title","Rel_Date","Budget"
"187",218778,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014-10-08,28000000
"195",341006,"The Belko Experiment",2016-03-17,5000000
"196",290751,"Secret in Their Eyes",2015-10-14,19500000
"199",157845,"The Rover",2014-05-18,12250000
"201",102780,"Byzantium",2012-09-09,10000000
"205",309886,"Blood Father",2016-08-11,13000000
"206",182560,"Dark Places",2015-03-31,20000000
"207",221902,"Two Days, One Night",2014-05-21,7000000
"212",152780,"The Past",2013-05-17,11000000
"213",88273,"A Royal Affair",2012-03-29,8000000
"215",259316,"Fantastic Beasts and Where to Find Them",2016-11-16,180000000
"217",119450,"Dawn of the Planet of the Apes",2014-06-26,170000000
"218",439079,"The Nun",2018-09-05,22000000
"220",109445,"Frozen",2013-11-27,150000000
"221",245916,"Kill the Messenger",2014-10-09,5000000
"223",452832,"Serenity",2019-01-24,25000000
"227",44912,"Green Lantern",2011-06-16,200000000
"228",438799,"Overlord",2018-11-01,38000000
"230",393519,"Raw",2016-11-11,3500000
"231",153158,"Underdogs",2013-07-18,22000000
"233",245168,"Suffragette",2015-10-16,14000000
"234",304357,"Woman in Gold",2015-03-20,11000000
"235",93828,"Welcome to the Punch",2013-03-15,8500000
"236",82390,"The Paperboy",2012-09-14,12500000
"237",210577,"Gone Girl",2014-10-01,61000000
"239",438740,"Salyut-7",2017-09-22,15000000
"242",177572,"Big Hero 6",2014-10-24,165000000
"246",41211,"Heartbreaker",2010-03-17,8700000
"248",245698,"Pawn Sacrifice",2015-09-16,19000000
"250",228150,"Fury",2014-10-15,68000000
"255",353081,"Mission: Impossible - Fallout",2018-07-13,178000000
"257",50725,"Take Me Home Tonight",2011-03-04,19000000
"262",12444,"Harry Potter and the Deathly Hallows: Part 1",2010-10-17,250000000
"264",86597,"The Tall Man",2012-03-19,18200000
"267",39210,"Somewhere",2010-09-03,8000000
"271",243938,"Hot Tub Time Machine 2",2015-02-20,14000000
"272",68817,"Footloose",2011-10-06,24000000
"274",111190,"Adore",2013-04-03,16000000
"275",369972,"First Man",2018-10-11,70000000
"280",86467,"Bel Ami",2012-03-09,9000000
"281",87101,"Terminator Genisys",2015-06-23,155000000
"282",157847,"Joe",2014-04-11,4000000
"284",65759,"Happy Feet Two",2011-11-17,130000000
"289",345887,"The Equalizer 2",2018-07-19,62000000
"303",97614,"Deadfall",2012-11-08,12000000
"304",38234,"Undisputed III: Redemption",2010-05-22,3000000
"307",268896,"Pacific Rim: Uprising",2018-03-21,150000000
"310",382322,"Batman: The Killing Joke",2016-07-21,3500000
"318",38541,"The Divide",2011-03-13,3000000
"322",49521,"Man of Steel",2013-06-12,225000000
"327",227348,"Paranormal Activity: The Marked Ones",2014-01-01,5000000
"332",98548,"People Like Us",2012-06-29,16000000
"334",269149,"Zootopia",2016-02-11,150000000
"337",252178,"'71",2014-10-10,11000000
"338",41233,"Step Up 3D",2010-08-04,30000000
"346",433808,"The Ritual",2017-10-11,10000000
"357",140607,"Star Wars: The Force Awakens",2015-12-15,245000000
"358",201088,"Blackhat",2015-01-13,70000000
"359",576071,"Unplanned",2019-03-21,6000000
"363",244786,"Whiplash",2014-10-10,3300000
"370",336050,"Son of Saul",2015-06-11,1000000
"371",41505,"Shelter",2010-03-27,22000000
"372",260346,"Taken 3",2014-12-16,48000000
