"","ID","Title","Rel_Date","Budget"
"1626",45243,"The Hangover Part II",2011-05-25,80000000
"1635",77016,"End of Watch",2012-09-20,7000000
"1638",273481,"Sicario",2015-09-17,30000000
"1639",369885,"Allied",2016-11-17,85000000
"1641",302699,"Central Intelligence",2016-06-15,50000000
"1646",255343,"Escobar: Paradise Lost",2014-10-11,17000000
"1647",406761,"Hotel Artemis",2018-06-07,15000000
"1649",439015,"Slender Man",2018-08-10,10000000
"1655",517814,"Capernaum",2018-10-06,4000000
"1658",45772,"Gnomeo & Juliet",2011-01-13,36000000
"1664",49018,"Insidious",2010-09-13,1500000
"1666",324668,"Jason Bourne",2016-07-27,120000000
"1668",121856,"Assassin's Creed",2016-12-21,125000000
"1670",220882,"London Fields",2018-09-20,8000000
"1673",297761,"Suicide Squad",2016-08-03,176000000
"1676",57800,"Ice Age: Continental Drift",2012-06-26,95000000
"1677",82654,"Warm Bodies",2013-01-31,35000000
"1684",256961,"Paul Blart: Mall Cop 2",2015-04-16,38000000
"1700",399404,"Darkest Hour",2017-11-22,30000000
"1704",80271,"LOL",2012-02-10,11000000
"1707",383218,"The Champions: Faster. Higher. Stronger",2016-02-18,1500000
"1708",136835,"No Good Deed",2014-09-10,13200000
"1709",82693,"Silver Linings Playbook",2012-09-08,21000000
"1718",38050,"The Adjustment Bureau",2011-03-03,50200000
"1722",49526,"Premium Rush",2012-08-24,35000000
"1725",239571,"The Best of Me",2014-10-16,26000000
"1727",252838,"The Wedding Ringer",2015-01-16,23000000
"1728",51540,"Horrible Bosses",2011-07-08,35000000
"1731",68730,"Silence",2016-12-22,46000000
"1733",86331,"Desire",2011-09-14,1344000
"1734",37834,"Knight and Day",2010-06-15,117000000
"1737",429476,"Hell Fest",2018-09-27,5500000
"1741",370567,"Sherlock Gnomes",2018-03-15,59000000
"1743",198277,"Begin Again",2013-09-07,8000000
"1747",20533,"Jonah Hex",2010-06-18,47000000
"1748",109414,"This Is the End",2013-06-12,32000000
"1750",345920,"Collateral Beauty",2016-12-06,36000000
"1752",458423,"Mamma Mia! Here We Go Again",2018-07-09,75000000
"1759",63207,"Intruders",2011-09-12,13000000
"1760",17578,"The Adventures of Tintin",2011-10-25,130000000
"1761",37958,"Immortals",2011-11-10,75000000
"1762",34851,"Predators",2010-07-03,40000000
"1764",277685,"Unfriended",2015-04-17,1000000
"1765",401200,"Kursk",2018-11-07,20000000
"1766",57165,"Wrath of the Titans",2012-03-27,150000000
"1773",193756,"Lone Survivor",2013-12-24,40000000
"1774",76640,"The Last Stand",2013-01-12,30000000
"1775",400617,"Phantom Thread",2017-12-25,35000000
"1781",23169,"Remember Me",2010-03-12,16000000
"1783",59961,"Safe House",2012-02-09,85000000
"1786",396371,"Molly's Game",2017-12-21,30000000
"1787",44896,"Rango",2011-03-02,10000000
"1788",353491,"The Dark Tower",2017-08-03,60000000
"1789",82682,"Gangster Squad",2013-01-10,60000000
"1791",37430,"Conan the Barbarian",2011-08-17,90000000
"1796",116711,"Epic",2013-05-15,100000000
"1798",22894,"Legion",2010-01-21,26000000
"1800",314365,"Spotlight",2015-11-06,20000000
"1804",449176,"Love, Simon",2018-02-16,17000000
"1806",38575,"The Karate Kid",2010-06-10,40000000
"1810",50546,"Just Go with It",2011-02-10,80000000
"1811",9543,"Prince of Persia: The Sands of Time",2010-05-19,150000000
"1814",100042,"Dumb and Dumber To",2014-11-12,40000000
"1823",168672,"American Hustle",2013-12-12,40000000
"1831",82525,"Savages",2012-07-06,45000000
"1832",249070,"Hitman: Agent 47",2015-08-20,35000000
"1833",384680,"Hostiles",2017-12-22,55000000
"1837",341174,"Fifty Shades Darker",2017-02-08,55000000
"1839",242512,"Ouija",2014-10-24,5000000
"1841",27576,"Salt",2010-07-21,110000000
"1850",76285,"Percy Jackson: Sea of Monsters",2013-08-07,90000000
"1854",372343,"The Snowman",2017-10-12,35000000
"1857",246741,"What We Do in the Shadows",2014-06-19,1600000
"1858",238713,"Spy",2015-05-06,65000000
"1863",254201,"The Absent One",2014-10-02,5848257
"1865",96721,"Rush",2013-09-02,38000000
"1869",172385,"Rio 2",2014-03-19,103000000
"1870",491584,"Burning",2018-05-17,7080000
"1874",152760,"The Monuments Men",2014-01-24,70000000
"1877",109443,"Anchorman 2: The Legend Continues",2013-12-18,50000000
"1880",51876,"Limitless",2011-03-08,27000000
"1885",23629,"Sucker Punch",2011-03-24,82000000
"1886",258489,"The Legend of Tarzan",2016-06-29,180000000
"1888",84892,"The Perks of Being a Wallflower",2012-09-20,13000000
"1901",400928,"Gifted",2017-04-12,7000000
"1908",417678,"Everything, Everything",2017-05-18,10000000
"1909",293863,"The Age of Adaline",2015-04-16,25000000
"1910",310307,"The Founder",2016-09-13,25000000
"1911",65055,"Shark Night 3D",2011-09-02,28000000
"1918",283366,"Miss Peregrine's Home for Peculiar Children",2016-09-28,110000000
"1919",507076,"Climax",2018-09-19,2940457
"1927",256917,"The Water Diviner",2014-12-25,22500000
"1928",437586,"Mid90s",2018-10-19,258157
"1931",109431,"Identity Thief",2013-02-07,35000000
"1933",160070,"Apartment 1303 3D",2012-12-06,5000000
"1935",340666,"Nocturnal Animals",2016-11-04,22500000
"1939",65086,"The Woman in Black",2012-02-03,17000000
"1940",264644,"Room",2015-10-16,6000000
"1943",58233,"Johnny English Reborn",2011-09-15,45000000
"1946",80278,"The Impossible",2012-09-09,42000000
"1952",473149,"Traffik",2018-04-20,4000000
"1958",149870,"The Wind Rises",2013-07-20,30000000
"1959",264656,"The Homesman",2014-05-18,16000000
"1960",41630,"No Strings Attached",2011-01-21,25000000
"1962",187596,"Walk of Shame",2014-05-02,15000000
"1966",204082,"Homefront",2013-11-27,22000000
"1968",41283,"Faster",2010-11-23,24000000
"1969",27582,"The Mechanic",2011-01-13,40000000
"1970",406563,"Insidious: The Last Key",2018-01-03,10000000
"1971",300669,"Don't Breathe",2016-08-25,9900000
"1976",381719,"Peter Rabbit",2018-02-07,50000000
"1979",18823,"Clash of the Titans",2010-04-01,125000000
"1983",227306,"Unbroken",2014-12-25,65000000
"1984",52520,"Underworld: Awakening",2012-01-19,70000000
"1993",303857,"Dragon Ball Z: Resurrection 'F'",2015-04-18,5000000
"1996",328387,"Nerve",2016-07-27,19000000
