"","track_name","album","artist","track_type","release_date","popularity","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
"14","Shallow","A Star Is Born Soundtrack","Lady Gaga","album",2018-10-05,93,0.572,0.385,7,-6.362,1,0.0308,0.371,0,0.231,0.323,95.799,"audio_features","2VxeLyX666F8uXCJ0dZF8B","spotify:track:2VxeLyX666F8uXCJ0dZF8B","https://api.spotify.com/v1/tracks/2VxeLyX666F8uXCJ0dZF8B","https://api.spotify.com/v1/audio-analysis/2VxeLyX666F8uXCJ0dZF8B",215733,4
"15","Wow.","Wow.","Post Malone","single",2018-12-24,95,0.833,0.539,11,-7.399,0,0.178,0.163,2.1e-06,0.101,0.385,99.947,"audio_features","6MWtB6iiXyIwun0YzU6DFP","spotify:track:6MWtB6iiXyIwun0YzU6DFP","https://api.spotify.com/v1/tracks/6MWtB6iiXyIwun0YzU6DFP","https://api.spotify.com/v1/audio-analysis/6MWtB6iiXyIwun0YzU6DFP",149520,4
"16","bury a friend","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","Billie Eilish","album",2019-03-29,94,0.905,0.389,8,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046,"audio_features","4SSnFejRGlZikf02HLewEF","spotify:track:4SSnFejRGlZikf02HLewEF","https://api.spotify.com/v1/tracks/4SSnFejRGlZikf02HLewEF","https://api.spotify.com/v1/audio-analysis/4SSnFejRGlZikf02HLewEF",193143,4
"17","Don't Call Me Up","Ivy To Roses (Mixtape)","Mabel","album",2019-01-18,93,0.674,0.881,9,-2.853,1,0.147,0.296,3.01e-06,0.0793,0.234,98.994,"audio_features","5WHTFyqSii0lmT9R21abT8","spotify:track:5WHTFyqSii0lmT9R21abT8","https://api.spotify.com/v1/tracks/5WHTFyqSii0lmT9R21abT8","https://api.spotify.com/v1/audio-analysis/5WHTFyqSii0lmT9R21abT8",178480,4
"18","Kill This Love","KILL THIS LOVE","BLACKPINK","single",2019-04-04,69,0.738,0.861,2,-4.141,1,0.237,0.32,0.00175,0.325,0.58,131.974,"audio_features","4pUCKHjJ4Ijewc37rRrvHn","spotify:track:4pUCKHjJ4Ijewc37rRrvHn","https://api.spotify.com/v1/tracks/4pUCKHjJ4Ijewc37rRrvHn","https://api.spotify.com/v1/audio-analysis/4pUCKHjJ4Ijewc37rRrvHn",189052,4
"19","Pa Mí - Remix","Pa Mí (Remix)","Dalex","single",2019-02-07,93,0.688,0.62,11,-8.029,0,0.22,0.753,5.27e-06,0.158,0.727,170.018,"audio_features","224EVTFiLsdQignUFLvDeH","spotify:track:224EVTFiLsdQignUFLvDeH","https://api.spotify.com/v1/tracks/224EVTFiLsdQignUFLvDeH","https://api.spotify.com/v1/audio-analysis/224EVTFiLsdQignUFLvDeH",360960,4
"20","HP","HP","Maluma","single",2019-03-01,93,0.837,0.791,4,-3.157,0,0.0773,0.252,1.14e-06,0.188,0.618,91.98,"audio_features","31UjYv5vLsDkzchJOtUMtW","spotify:track:31UjYv5vLsDkzchJOtUMtW","https://api.spotify.com/v1/tracks/31UjYv5vLsDkzchJOtUMtW","https://api.spotify.com/v1/audio-analysis/31UjYv5vLsDkzchJOtUMtW",184436,4
"21","Here With Me","Here With Me","Marshmello","single",2019-03-08,93,0.791,0.565,5,-3.933,0,0.0439,0.0623,0,0.156,0.181,99.961,"audio_features","5icOoE6VgqFKohjWWNp0Ac","spotify:track:5icOoE6VgqFKohjWWNp0Ac","https://api.spotify.com/v1/tracks/5icOoE6VgqFKohjWWNp0Ac","https://api.spotify.com/v1/audio-analysis/5icOoE6VgqFKohjWWNp0Ac",156347,4
"22","when the party's over","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","Billie Eilish","album",2019-03-29,92,0.367,0.111,4,-14.084,1,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,"audio_features","43zdsphuZLzwA9k4DJhU0I","spotify:track:43zdsphuZLzwA9k4DJhU0I","https://api.spotify.com/v1/tracks/43zdsphuZLzwA9k4DJhU0I","https://api.spotify.com/v1/audio-analysis/43zdsphuZLzwA9k4DJhU0I",196077,4
"23","Calma - Remix","Calma (Remix)","Pedro Capó","single",2018-10-05,93,0.826,0.773,11,-4.218,0,0.0524,0.323,0,0.143,0.761,126.899,"audio_features","5iwz1NiezX7WWjnCgY5TH4","spotify:track:5iwz1NiezX7WWjnCgY5TH4","https://api.spotify.com/v1/tracks/5iwz1NiezX7WWjnCgY5TH4","https://api.spotify.com/v1/audio-analysis/5iwz1NiezX7WWjnCgY5TH4",238200,4
