"","track_name","album","artist","track_type","release_date","popularity","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
"14","Sanguine Paradise","Sanguine Paradise","Lil Uzi Vert","single",2019-04-09,89,0.729,0.603,6,-6.736,0,0.0666,0.0948,0,0.113,0.207,134.972,"audio_features","3XiNC94b4Tq1xwv70sQJGN","spotify:track:3XiNC94b4Tq1xwv70sQJGN","https://api.spotify.com/v1/tracks/3XiNC94b4Tq1xwv70sQJGN","https://api.spotify.com/v1/audio-analysis/3XiNC94b4Tq1xwv70sQJGN",243976,4
"15","Wow.","Wow.","Post Malone","single",2018-12-24,94,0.833,0.539,11,-7.399,0,0.178,0.163,2.1e-06,0.101,0.385,99.947,"audio_features","6MWtB6iiXyIwun0YzU6DFP","spotify:track:6MWtB6iiXyIwun0YzU6DFP","https://api.spotify.com/v1/tracks/6MWtB6iiXyIwun0YzU6DFP","https://api.spotify.com/v1/audio-analysis/6MWtB6iiXyIwun0YzU6DFP",149520,4
"16","Sucker","Sucker","Jonas Brothers","single",2019-03-01,95,0.842,0.734,1,-5.065,0,0.0588,0.0427,0,0.106,0.952,137.958,"audio_features","4y3OI86AEP6PQoDE6olYhO","spotify:track:4y3OI86AEP6PQoDE6olYhO","https://api.spotify.com/v1/tracks/4y3OI86AEP6PQoDE6olYhO","https://api.spotify.com/v1/audio-analysis/4y3OI86AEP6PQoDE6olYhO",181040,4
"17","Old Town Road","Old Town Road","Lil Nas X","single",2019-03-14,96,0.908,0.517,1,-6.063,1,0.129,0.0361,1.73e-06,0.0949,0.471,136.019,"audio_features","53CJANUxooaqGOtdsBTh7O","spotify:track:53CJANUxooaqGOtdsBTh7O","https://api.spotify.com/v1/tracks/53CJANUxooaqGOtdsBTh7O","https://api.spotify.com/v1/audio-analysis/53CJANUxooaqGOtdsBTh7O",113013,4
"18","Paradise","Paradise","Bazzi","single",2019-04-04,89,0.844,0.644,11,-6.273,0,0.0479,0.0828,0,0.113,0.591,122.061,"audio_features","7njKgVl3AnLflRad38o7AG","spotify:track:7njKgVl3AnLflRad38o7AG","https://api.spotify.com/v1/tracks/7njKgVl3AnLflRad38o7AG","https://api.spotify.com/v1/audio-analysis/7njKgVl3AnLflRad38o7AG",169038,4
"19","7 rings","thank u, next","Ariana Grande","album",2019-02-08,90,0.778,0.317,1,-10.732,0,0.334,0.592,0,0.0881,0.327,140.048,"audio_features","6ocbgoVGwYJhOv1GgI9NsF","spotify:track:6ocbgoVGwYJhOv1GgI9NsF","https://api.spotify.com/v1/tracks/6ocbgoVGwYJhOv1GgI9NsF","https://api.spotify.com/v1/audio-analysis/6ocbgoVGwYJhOv1GgI9NsF",178627,4
"20","Going Bad (feat. Drake)","Championships","Meek Mill","album",2018-11-30,91,0.889,0.496,4,-6.365,0,0.0905,0.259,0,0.252,0.544,86.003,"audio_features","2IRZnDFmlqMuOrYOLnZZyc","spotify:track:2IRZnDFmlqMuOrYOLnZZyc","https://api.spotify.com/v1/tracks/2IRZnDFmlqMuOrYOLnZZyc","https://api.spotify.com/v1/audio-analysis/2IRZnDFmlqMuOrYOLnZZyc",180522,4
"21","Pure Water (with Migos)","Pure Water (with Migos)","Mustard","single",2019-01-16,89,0.68,0.559,0,-5.545,1,0.129,0.172,0,0.318,0.137,202.006,"audio_features","63cd4JkwGgYJrbOizbfmsp","spotify:track:63cd4JkwGgYJrbOizbfmsp","https://api.spotify.com/v1/tracks/63cd4JkwGgYJrbOizbfmsp","https://api.spotify.com/v1/audio-analysis/63cd4JkwGgYJrbOizbfmsp",194520,4
"22","Murder On My Mind","I AM YOU","YNW Melly","album",2018-08-03,90,0.759,0.73,0,-7.985,0,0.0516,0.145,3.06e-06,0.11,0.74,115.007,"audio_features","7eBqSVxrzQZtK2mmgRG6lC","spotify:track:7eBqSVxrzQZtK2mmgRG6lC","https://api.spotify.com/v1/tracks/7eBqSVxrzQZtK2mmgRG6lC","https://api.spotify.com/v1/audio-analysis/7eBqSVxrzQZtK2mmgRG6lC",268434,4
"23","SOS","SOS","Avicii","single",2019-04-10,95,0.802,0.645,5,-6.181,0,0.0715,0.272,0,0.119,0.376,100.001,"audio_features","6nDKrPlXdpomGBgAlO7UdP","spotify:track:6nDKrPlXdpomGBgAlO7UdP","https://api.spotify.com/v1/tracks/6nDKrPlXdpomGBgAlO7UdP","https://api.spotify.com/v1/audio-analysis/6nDKrPlXdpomGBgAlO7UdP",157202,4
