"","artist.id","artist.popularity"
"120","1jhdZdzOd4TJLAHqQdkUND",61
"121","1jhdZdzOd4TJLAHqQdkUND",61
"122","1jhdZdzOd4TJLAHqQdkUND",61
"123","1jhdZdzOd4TJLAHqQdkUND",61
"124","1jhdZdzOd4TJLAHqQdkUND",61
"125","1jhdZdzOd4TJLAHqQdkUND",61
"126","5Rl15oVamLq7FbSb0NNBNy",86
"127","1yQ8S4xdGOGbUcpaPR6hCM",49
"128","3PhoLpVuITZKcymswpck5b",83
"129","1XXpL6SLSvHLe3odClQGKI",25
"130","5Rl15oVamLq7FbSb0NNBNy",86
"131","5Rl15oVamLq7FbSb0NNBNy",86
"132","5Rl15oVamLq7FbSb0NNBNy",86
"133","5Rl15oVamLq7FbSb0NNBNy",86
"134","4BxCuXFJrSWGi1KHcVqaU4",75
"135","19Fi1Rj7kk8kyiwxpXy3yM",69
"136","77SW9BnxLY8rJ0RciFqkHh",78
"137","77SW9BnxLY8rJ0RciFqkHh",78
"138","77SW9BnxLY8rJ0RciFqkHh",78
"139","77SW9BnxLY8rJ0RciFqkHh",78
"140","77SW9BnxLY8rJ0RciFqkHh",78
"141","77SW9BnxLY8rJ0RciFqkHh",78
"142","77SW9BnxLY8rJ0RciFqkHh",78
"143","5WUlDfRSoLAfcVSX1WnrxN",89
"144","0awl5piYwO0CDTHEkCjUhn",65
"145","2wY79sveU1sp5g7SokKOiI",90
"146","5nLYd9ST4Cnwy6NHaCxbj8",69
"147","5nLYd9ST4Cnwy6NHaCxbj8",69
"148","5nLYd9ST4Cnwy6NHaCxbj8",69
"149","5nLYd9ST4Cnwy6NHaCxbj8",69
"150","5nLYd9ST4Cnwy6NHaCxbj8",69
"151","5nLYd9ST4Cnwy6NHaCxbj8",69
"152","5nLYd9ST4Cnwy6NHaCxbj8",69
"153","5nLYd9ST4Cnwy6NHaCxbj8",69
"154","5nLYd9ST4Cnwy6NHaCxbj8",69
"155","5nLYd9ST4Cnwy6NHaCxbj8",69
"156","0awl5piYwO0CDTHEkCjUhn",65
"157","2gsggkzM5R49q6jpPvazou",76
"158","07YZf4WDAMNwqr4jfgOZ8y",83
"159","4yiQZ8tQPux8cPriYMWUFP",74
"160","66CXWjxzNUsdJxJ2JdwvnR",97
"161","4UXqAaa6dQYAk18Lv7PEgX",85
"162","1vSN1fsvrzpbttOYGsliDr",72
"163","02rM7tEviVltZ0PsuB3Rlp",32
"164","5Mq7iqCWBzofK39FBqblNc",65
"165","4umlyQ2OcifCUUuagH5cVw",35
"166","4VIXJZgRL9hIOmF5CbTIJK",36
"167","3kHVioJpVxlazAAKQ64pC1",63
"168","5nfow6tv4Dtm6K4WHzczBI",40
"169","4AK6F7OLvEQ5QYCBNiQWHq",85
"170","4AK6F7OLvEQ5QYCBNiQWHq",85
"171","4AK6F7OLvEQ5QYCBNiQWHq",85
"172","4AK6F7OLvEQ5QYCBNiQWHq",85
"173","4AK6F7OLvEQ5QYCBNiQWHq",85
"174","4AK6F7OLvEQ5QYCBNiQWHq",85
"175","4AK6F7OLvEQ5QYCBNiQWHq",85
"176","4AK6F7OLvEQ5QYCBNiQWHq",85
"177","4AK6F7OLvEQ5QYCBNiQWHq",85
"178","4AK6F7OLvEQ5QYCBNiQWHq",85
"179","6eUKZXaKkcviH0Ku9w2n3V",93
"180","6eUKZXaKkcviH0Ku9w2n3V",93
"181","6eUKZXaKkcviH0Ku9w2n3V",93
"182","6eUKZXaKkcviH0Ku9w2n3V",93
"183","6eUKZXaKkcviH0Ku9w2n3V",93
"184","6eUKZXaKkcviH0Ku9w2n3V",93
"185","2wUjUUtkb5lvLKcGKsKqsR",84
"186","5cKlE8f6b26h61Ml7m052Q",66
"187","16GcWuvvybAoaHr0NqT8Eh",66
"188","0vW8z9pZMGCcRtGPGtyqiB",57
"189","7n2wHs1TKAczGzO7Dd2rGr",91
"190","7n2wHs1TKAczGzO7Dd2rGr",91
"191","7n2wHs1TKAczGzO7Dd2rGr",91
"192","7n2wHs1TKAczGzO7Dd2rGr",91
"193","7n2wHs1TKAczGzO7Dd2rGr",91
"194","7n2wHs1TKAczGzO7Dd2rGr",91
"195","7n2wHs1TKAczGzO7Dd2rGr",91
"196","4Rxn7Im3LGfyRkY2FlHhWi",76
"197","4Rxn7Im3LGfyRkY2FlHhWi",76
"198","4Rxn7Im3LGfyRkY2FlHhWi",76
"199","4Rxn7Im3LGfyRkY2FlHhWi",76
"200","4Rxn7Im3LGfyRkY2FlHhWi",76
"201","7n2wHs1TKAczGzO7Dd2rGr",91
"202","4Rxn7Im3LGfyRkY2FlHhWi",76
"203","7bXgB6jMjp9ATFy66eO08Z",90
"204","4gzpq5DPGxSnKTe4SA8HAU",88
"205","7gAppWoH7pcYmphCVTXkzs",78
"206","7gAppWoH7pcYmphCVTXkzs",78
"207","7gAppWoH7pcYmphCVTXkzs",78
"208","7gAppWoH7pcYmphCVTXkzs",78
"209","7gAppWoH7pcYmphCVTXkzs",78
"210","7gAppWoH7pcYmphCVTXkzs",78
"211","7gAppWoH7pcYmphCVTXkzs",78
"212","7gAppWoH7pcYmphCVTXkzs",78
"213","7gAppWoH7pcYmphCVTXkzs",78
"214","2dd5mrQZvg6SmahdgVKDzh",61
"215","1IueXOQyABrMOprrzwQJWN",77
"216","5y2Xq6xcjJb2jVM54GHK3t",81
"217","4gzpq5DPGxSnKTe4SA8HAU",88
"218","4gzpq5DPGxSnKTe4SA8HAU",88
"219","3WGpXCj9YhhfX11TToZcXP",85
"220","3WGpXCj9YhhfX11TToZcXP",85
"221","3WGpXCj9YhhfX11TToZcXP",85
"222","3WGpXCj9YhhfX11TToZcXP",85
"223","3WGpXCj9YhhfX11TToZcXP",85
"224","4lWmv250WqWOnM0FKmHxiO",21
"225","4dwdTW1Lfiq0cM8nBAqIIz",73
"226","3NPpFNZtSTHheNBaWC82rB",77
"227","3YQKmKGau1PzlVlkL1iodx",88
"228","3YQKmKGau1PzlVlkL1iodx",88
"229","1Mxqyy3pSjf8kZZL4QVxS0",78
"230","3bhu7P5PfngueRHiB9hjcx",65
"231","3GaRKzVcjJv5cIL8CmRAHn",45
"232","3mVWMgLc7bcyCBtL2ymZwK",58
"233","3bhu7P5PfngueRHiB9hjcx",65
"234","5aptPwTkTKmlPx6csmNJLA",59
"235","1HY2Jd0NmPuamShAr6KMms",90
"236","1WgXqy2Dd70QQOU7Ay074N",69
"237","1WgXqy2Dd70QQOU7Ay074N",69
"238","1WgXqy2Dd70QQOU7Ay074N",69
"239","66CXWjxzNUsdJxJ2JdwvnR",97
"240","3QLIkT4rD2FMusaqmkepbq",69
"241","1KCSPY1glIKqW2TotWuXOR",88
"242","3qnGvpP8Yth1AqSBMqON5x",75
"243","7JZafQsN8syJ9agEtcyP4V",54
"244","2RdwBSPQiwcmiDo9kixcl8",81
"245","360IAlyVv4PCEVjgyMZrxK",82
"246","2mxe0TnaNL039ysAj51xPQ",73
"247","6rgEPiKjowlMKZC1DF6W75",47
"248","3MHaV05u0io8fQbZ2XPtlC",82
"249","6y8XlgIV8BLlIg1tT1R10i",75
"250","6e4aHkdDUcsaXPTQdF6Qhn",54
"251","3utZ2yeQk0Z3BCOBWP7Vlu",74
"252","6c4sUNBgdonFJz8Kx2VsGz",65
"253","5xKp3UyavIBUsGy3DQdXeF",70
"254","3btzEQD6sugImIHPMRgkwV",60
"255","2PU4qFehXQF7WnlFsJpBiJ",60
"256","3EPBoq3UlOpWoABQpdDSCB",45
"257","4njdEjTnLfcGImKZu1iSrz",68
"258","38h03gA85YYPeDPd9ER9rT",63
"259","3qnGvpP8Yth1AqSBMqON5x",75
"260","6JL8zeS1NmiOftqZTRgdTz",81
"261","4akybxRTGHJZ1DXjLhJ1qu",66
"262","0ZxZlO7oWCSYMXhehpyMvE",66
"263","5M2gxYpF3uzcsyifR9WEgE",28
"264","1n2pb9Tsfe4SwAjmUac6YT",73
"265","0hirZ8kPPdM9pzXpoagB4w",52
"266","1ThoqLcyIYvZn7iWbj8fsj",72
"267","1c4rxrxy8eDLvMVL1DTiBe",63
"268","7zsin6IgVsR1rqSRCNYDwq",58
"269","1qUjOF5fzrpoNycD36b2jZ",68
"270","3QvuHlyW42Ei3AyGOO4AMT",48
